Lx,Ly,Rx,Ry,Tx,Ty,Target,TaskCount,Time,InputMode,TypeableL,TypeableR,HeadPosition,HeadRotation,LTrigger,LHandP,LHandR,RTrigger,RHandP,RHandR
-1.078,0.351,1.064,-0.226,1.13,0.7,u,1,0.3061,PointKeys,False,False,(0.03, 1.20, 0.37),(-0.04230, 0.08644, -0.00847, 0.99532),False,(-0.12, 0.95, 0.59),(0.55693, 0.07660, -0.19261, -0.80428),False,(0.10, 0.96, 0.64),(-0.53616, 0.03045, -0.03782, 0.84272)
-1.082,0.346,1.070,-0.212,1.13,0.7,u,1,0.3341,PointKeys,False,False,(0.03, 1.20, 0.37),(-0.04179, 0.08528, -0.00925, 0.99544),False,(-0.12, 0.95, 0.59),(0.55719, 0.07606, -0.19232, -0.80422),False,(0.10, 0.96, 0.64),(-0.53776, 0.02929, -0.03807, 0.84173)
-1.083,0.350,1.041,-0.200,1.13,0.7,u,1,0.3481,PointKeys,False,False,(0.03, 1.20, 0.37),(-0.04178, 0.08453, -0.00985, 0.99550),False,(-0.12, 0.95, 0.59),(0.55764, 0.07575, -0.19213, -0.80398),False,(0.10, 0.96, 0.64),(-0.53912, 0.03024, -0.03666, 0.84088)
-1.093,0.361,1.076,-0.169,1.13,0.7,u,1,0.3759,PointKeys,False,False,(0.03, 1.20, 0.37),(-0.04314, 0.08350, -0.01021, 0.99552),False,(-0.12, 0.95, 0.59),(0.55820, 0.07644, -0.19117, -0.80375),False,(0.10, 0.96, 0.64),(-0.54024, 0.02968, -0.03614, 0.84021)
-1.104,0.356,1.083,-0.152,1.13,0.7,u,1,0.3898,PointKeys,False,False,(0.03, 1.20, 0.37),(-0.04382, 0.08273, -0.01094, 0.99555),False,(-0.12, 0.95, 0.59),(0.55797, 0.07743, -0.19090, -0.80389),False,(0.10, 0.96, 0.64),(-0.54089, 0.02878, -0.03703, 0.83978)
-1.117,0.344,1.076,-0.149,1.13,0.7,u,1,0.4037,PointKeys,False,False,(0.03, 1.20, 0.37),(-0.04442, 0.08235, -0.01060, 0.99556),False,(-0.12, 0.95, 0.59),(0.55761, 0.07831, -0.19128, -0.80396),False,(0.10, 0.96, 0.64),(-0.54175, 0.02969, -0.03759, 0.83917)
-1.128,0.314,1.078,-0.114,1.13,0.7,u,1,0.4317,PointKeys,False,False,(0.03, 1.20, 0.37),(-0.04597, 0.08242, -0.00980, 0.99549),False,(-0.12, 0.95, 0.59),(0.55633, 0.07873, -0.19289, -0.80442),False,(0.10, 0.96, 0.64),(-0.54490, 0.03366, -0.03866, 0.83693)
-1.128,0.296,1.093,-0.079,1.13,0.7,u,1,0.4455,PointKeys,False,False,(0.03, 1.20, 0.37),(-0.04549, 0.08256, -0.00994, 0.99550),False,(-0.12, 0.95, 0.59),(0.55614, 0.07866, -0.19267, -0.80461),False,(0.10, 0.96, 0.64),(-0.54537, 0.03435, -0.03771, 0.83664)
-1.136,0.272,1.114,-0.029,1.13,0.7,u,1,0.4734,PointKeys,False,False,(0.03, 1.20, 0.37),(-0.04474, 0.08290, -0.00945, 0.99551),False,(-0.12, 0.94, 0.59),(0.55553, 0.07909, -0.19296, -0.80492),False,(0.10, 0.96, 0.64),(-0.54700, 0.03391, -0.03762, 0.83560)
-1.140,0.260,1.118,-0.008,1.13,0.7,u,1,0.4872,PointKeys,False,False,(0.03, 1.20, 0.37),(-0.04394, 0.08335, -0.00953, 0.99551),False,(-0.12, 0.94, 0.59),(0.55523, 0.08010, -0.19347, -0.80490),False,(0.10, 0.96, 0.64),(-0.54866, 0.03568, -0.03794, 0.83442)
